session_k,feature,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,subject,dataset,n_sessions
1,CSP,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,1,bnci004,5
1,logvar,0.13097887094318938,0.09053079126760796,0.017491006569738673,1.1448595085274462,0.03478660348550376,1,bnci004,5
1,TS,0.1460181293567624,1.0548280748958606e-06,2.4044620537334438e-12,1.642803095159494e-08,4.502754531348954e-12,1,bnci004,5
2,CSP,0.25588889299564843,0.6128394598636832,0.5894467789491857,1.9811587227764684,0.8601146904657468,1,bnci004,5
2,logvar,0.3115082873202202,0.1375127840755811,0.026859508149326625,2.2135161803215486,0.03643135201873802,1,bnci004,5
2,TS,0.32667192736885864,1.5841929188130779e-06,3.64625398130309e-12,2.7978125548830248e-08,4.645556227782698e-12,1,bnci004,5
3,CSP,0.6236033914564845,1.0420690703941604,1.0666933460825412,3.0432635635339085,1.2022766824759032,1,bnci004,5
3,logvar,0.6131953021444133,0.20194346878838207,0.0407230960148923,2.8420610051966033,0.04443687871836527,1,bnci004,5
3,TS,0.6078686570052617,2.2535413254524e-06,5.222330719942117e-12,4.124733732780932e-08,5.592315886539995e-12,1,bnci004,5
4,CSP,0.13224327064432373,0.4103825258659625,0.39074554563520814,1.4092367566509252,0.7195576207045785,1,bnci004,5
4,logvar,0.2003493519163223,0.10970595890643299,0.022279827936188053,1.545609934969025,0.03286044471698612,1,bnci004,5
4,TS,0.24453403654182315,1.3797228771702555e-06,3.2838936622806588e-12,2.470438811846983e-08,4.380722883226123e-12,1,bnci004,5
1,CSP,0.7902314541418152,0.9577113540228316,0.795168393331183,3.287156162048796,0.8634692352655341,2,bnci004,5
1,logvar,0.5399750504817605,0.1069938849996673,0.012122909742384357,2.5547789547927584,0.014697083644167469,2,bnci004,5
1,TS,0.4431454788614595,1.1181565639081538e-06,1.5139402288879904e-12,1.1609607651583021e-08,1.928520247286371e-12,2,bnci004,5
2,CSP,0.949019891106965,1.1111514062728962,0.9602912691318886,5.700211928916207,1.0226491108543176,2,bnci004,5
2,logvar,0.24234195830605998,0.07202238559370344,0.008474588687009506,1.6562973574250217,0.011621608248226245,2,bnci004,5
2,TS,0.18274830711889933,7.080106123589413e-07,9.841063438204885e-13,7.0852678252751625e-09,1.5509580726716715e-12,2,bnci004,5
3,CSP,0.602053246828872,0.7781072682661588,0.5965890378553791,3.6367077420201688,0.6993674812347821,2,bnci004,5
3,logvar,0.05710678263195046,0.03259018426873006,0.004429004232879586,0.8275667942537119,0.010440023299034802,2,bnci004,5
3,TS,0.0825852359169359,4.536050351451202e-07,6.584982962480506e-13,3.91145031831594e-09,1.5536723638795332e-12,2,bnci004,5
4,CSP,0.9141640035912922,1.0442313081909198,0.8758608598565135,4.455222642540432,0.9333135427874831,2,bnci004,5
4,logvar,0.34051455921289286,0.08471644722482524,0.0099556010717184,1.6285630276440344,0.011959009012379195,2,bnci004,5
4,TS,0.2468803617665294,8.300603327700352e-07,1.169912948072966e-12,8.806042770519988e-09,1.5611098555624484e-12,2,bnci004,5
1,CSP,0.03443884400186814,0.25346489772384384,0.34659720015469386,0.48008433541292,1.1297615914412091,3,bnci004,5
1,logvar,0.015204411561011488,0.04647994515447568,0.022777318171554678,0.3466719937662453,0.09472291512448183,3,bnci004,5
1,TS,0.014890462154543371,5.466998299183188e-07,3.4456803471230676e-12,1.0210407316978209e-08,1.3691341320351624e-11,3,bnci004,5
2,CSP,0.08740438133090311,0.36124838926904457,0.43308967734146603,1.2367734872594578,0.8931868842080716,3,bnci004,5
2,logvar,0.0730378813928203,0.11515882651493671,0.04361158708678527,1.072268110069434,0.07221004998497396,3,bnci004,5
2,TS,0.05990261863360957,1.2701380864837748e-06,6.055581962280344e-12,4.366042063295855e-08,1.0204279056833918e-11,3,bnci004,5
3,CSP,0.09169690402169062,0.40276880004396093,0.463543474042173,1.318222642796317,0.9378905941795875,3,bnci004,5
3,logvar,0.09537364703513151,0.13454427804252655,0.04964038612658497,1.0698347150918686,0.07251803418632012,3,bnci004,5
3,TS,0.09591720310840024,1.6171680061932634e-06,7.343922514258518e-12,5.635359473544179e-08,1.0234872283680086e-11,3,bnci004,5
4,CSP,0.05258489345774264,0.2962308494699296,0.3455610524128324,0.8244569827128561,1.014256489096161,3,bnci004,5
4,logvar,0.020428158186512668,0.051513910972068436,0.022010035496210018,0.682266660951421,0.08328939334360387,3,bnci004,5
4,TS,0.016965393671605877,5.483346422147797e-07,3.3646878059535188e-12,9.89290208823407e-09,1.1953524069857232e-11,3,bnci004,5
1,CSP,0.07810267931545312,0.37987120212258735,0.4549207090219117,0.7238845429374579,0.9507280431053982,4,bnci004,5
1,logvar,0.05936052510414869,0.08080143619749795,0.023236483785378504,0.527828175153258,0.0553616699438311,4,bnci004,5
1,TS,0.05055229727932797,9.033891023690885e-07,3.5665811357463272e-12,2.3476194509129264e-08,7.93544374163984e-12,4,bnci004,5
2,CSP,0.300816662153238,0.7682470085335723,0.8620799946066879,1.8552873706207909,1.150185718908457,4,bnci004,5
2,logvar,0.27621642229823595,0.17570534116402325,0.04687682874112475,1.6824133307826772,0.06099267790499999,4,bnci004,5
2,TS,0.23796380164291686,1.934363913842771e-06,6.4517927603143125e-12,5.0367227659502116e-08,8.353901844834873e-12,4,bnci004,5
3,CSP,0.09391180256049703,0.40034226366807546,0.4500835778215656,1.1120734856592256,0.9094045219975461,4,bnci004,5
3,logvar,0.10306342650636657,0.10640038445824278,0.02959755234996612,1.61088782159802,0.05554975480544909,4,bnci004,5
3,TS,0.07630753667027523,1.0726238141687058e-06,4.024086032920873e-12,2.5564328498954454e-08,7.696582389255389e-12,4,bnci004,5
4,CSP,0.481513799642626,1.0038865380818482,1.136456636463397,2.2952703091790525,1.3278333089930454,4,bnci004,5
4,logvar,0.48631361188440103,0.22980030521175654,0.060441544726051635,2.0569091045839696,0.06813725430075566,4,bnci004,5
4,TS,0.435397932426984,2.572006431964288e-06,8.273219756837071e-12,6.590787940782983e-08,9.302093464448116e-12,4,bnci004,5
1,CSP,0.1473820303577158,0.43028938388496424,0.38835913667350186,1.4726707883654007,0.6926154538409467,5,bnci004,5
1,logvar,0.069983336383584,0.07075175493013705,0.014826371027710549,1.5340003219492373,0.03637078695849657,5,bnci004,5
1,TS,0.049135838764994055,7.79738693219206e-07,2.1879926370107147e-12,1.6194409022737703e-08,5.822394009178244e-12,5,bnci004,5
2,CSP,0.2425165603236885,0.5533106566969134,0.5084202053386953,1.4422766772248399,0.7382472055071437,5,bnci004,5
2,logvar,0.3234633305351182,0.1410272184498888,0.028623133129142976,1.448773244615879,0.03464123676305249,5,bnci004,5
2,TS,0.3197291012025375,1.7816745979018562e-06,4.6269380657334035e-12,3.690002132627385e-08,5.4686654652790116e-12,5,bnci004,5
3,CSP,0.5645322310410937,0.927271013378539,0.8922739627649847,3.1694576033040467,1.0299010001171784,5,bnci004,5
3,logvar,0.5473452138068703,0.1827427716637219,0.036544760080841385,2.414036164527206,0.03954364397035572,5,bnci004,5
3,TS,0.5032865991096156,2.191267945665647e-06,5.545445070244525e-12,4.4374085814810505e-08,5.968517401401112e-12,5,bnci004,5
4,CSP,0.5018965341946776,0.823983170637049,0.749541526269379,3.03485430959284,0.901868079787658,5,bnci004,5
4,logvar,0.49020346945117543,0.17338031370655493,0.034315202159524605,2.585177224601488,0.03875821253622273,5,bnci004,5
4,TS,0.4525309266224301,2.122079733234828e-06,5.400107517414038e-12,4.323439512582912e-08,6.0009030648654354e-12,5,bnci004,5
1,CSP,0.17678624468431292,0.4610893309598768,0.43414535781154395,0.9722646207204517,0.7349006082074973,6,bnci004,5
1,logvar,0.1765692466477189,0.1306033372302778,0.03565279201022368,1.002644626733732,0.053157023528447145,6,bnci004,5
1,TS,0.1748732494033658,1.6347823214300525e-06,5.6040024045186184e-12,4.042598783615568e-08,8.258699092858397e-12,6,bnci004,5
2,CSP,0.177249436933415,0.4238035586276643,0.3653968097072503,1.0768595386642752,0.6414903758599128,6,bnci004,5
2,logvar,0.10778897149533373,0.07928753918390229,0.018983182375953228,0.9486583599146319,0.040331711067328586,6,bnci004,5
2,TS,0.09386465147387923,9.002321673778772e-07,2.7777995374175653e-12,1.5324220482577615e-08,5.929740731765969e-12,6,bnci004,5
3,CSP,0.26389998599437803,0.5205311010922409,0.4669403182321989,1.60778201787497,0.6655883909007781,6,bnci004,5
3,logvar,0.19817626607991845,0.1153241553416931,0.027835042672482754,1.4419793076331249,0.042786992259807505,6,bnci004,5
3,TS,0.174072676933827,1.3467530910881873e-06,4.088387905660035e-12,2.609990069379301e-08,6.4250640244717115e-12,6,bnci004,5
4,CSP,0.08188918931764744,0.29680318380242104,0.30556894419816855,0.8454228040562549,0.6205863852550184,6,bnci004,5
4,logvar,0.09702491892001497,0.08477077924179412,0.022450909555803047,0.9506131362009737,0.04197663848961105,6,bnci004,5
4,TS,0.09914919431376656,1.0759208311969134e-06,3.52978094425536e-12,2.2505135835926226e-08,6.446537725753115e-12,6,bnci004,5
1,CSP,0.11481062495202532,0.4794395221271408,0.5557916680720651,1.3227427149441469,1.0358542393156969,7,bnci004,5
1,logvar,0.09394929529649843,0.05710107995819418,0.008906815732600895,1.2540948574480357,0.01757322102283735,7,bnci004,5
1,TS,0.07856386863510667,5.589850173881744e-07,1.0383762559646428e-12,6.641760429447171e-09,2.0458268898051304e-12,7,bnci004,5
2,CSP,0.1091529122917636,0.40533223149785197,0.4659441250692936,1.2798590058302868,0.8923855968801022,7,bnci004,5
2,logvar,0.08283693487681587,0.04542131220737385,0.007419545966736286,1.0566752204199872,0.015140006674257895,7,bnci004,5
2,TS,0.08867997020443741,5.300434624236241e-07,1.0757364624618004e-12,5.769162308449404e-09,1.834332614408866e-12,7,bnci004,5
3,CSP,0.046842053447629706,0.30306525860311256,0.40247692410915,0.839400376788466,0.9528538848731777,7,bnci004,5
3,logvar,0.03256982511626383,0.033075075515996644,0.007144730570976969,0.697729059757602,0.017124382954675818,7,bnci004,5
3,TS,0.035388722153542274,3.687484312552e-07,1.0031562045770954e-12,3.957216511136525e-09,2.0359874145852377e-12,7,bnci004,5
4,CSP,0.053763801567666025,0.28654483869280384,0.36843358488712796,0.6355686541927708,0.898354154690501,7,bnci004,5
4,logvar,0.05951084214893099,0.040019080101233125,0.0073251656510847415,0.6269753166452939,0.017510104652989977,7,bnci004,5
4,TS,0.04480030153060577,3.8788615088904607e-07,9.697030135463315e-13,4.194746336201828e-09,2.0950983188052376e-12,7,bnci004,5
1,CSP,0.03885767207751645,0.3065332399723338,0.40445174729407385,0.9134860916408276,1.1811256104203935,8,bnci004,5
1,logvar,0.022436949984427468,0.07136989089294785,0.0300944949641228,0.7338052854023833,0.09939491605713331,8,bnci004,5
1,TS,0.02378483249226515,9.018052359816828e-07,5.066393194619094e-12,2.985024723983846e-08,1.4564315730163845e-11,8,bnci004,5
2,CSP,0.2402769874662285,0.7558956301279198,0.8901001826254928,2.6625592167585435,1.388031653576983,8,bnci004,5
2,logvar,0.13441566955594197,0.1620528926748021,0.056374483875848945,1.8820518742827692,0.10899765803824767,8,bnci004,5
2,TS,0.12357379250878608,1.8476068714413486e-06,8.027630178849246e-12,5.8178172045038034e-08,1.5280624571559433e-11,8,bnci004,5
3,CSP,0.09153611426177855,0.44385730658891476,0.5586863151100695,1.4110018633840642,1.215163517490087,8,bnci004,5
3,logvar,0.0949407733656562,0.1340008001105664,0.05069053059196916,1.454079439457133,0.11115779004299955,8,bnci004,5
3,TS,0.08195517406265473,1.4814080027782752e-06,6.958479902444846e-12,4.226260804884708e-08,1.556677128678497e-11,8,bnci004,5
4,CSP,0.10983693826582974,0.5241655635885117,0.6915951505431752,1.7349130475423584,1.3032462706868302,8,bnci004,5
4,logvar,0.14956028336578808,0.17941278868170685,0.06502573972939552,2.2623007707352185,0.11414740438532997,8,bnci004,5
4,TS,0.17893511236420045,2.3203951367165212e-06,1.0248567114611947e-11,7.7013572138951e-08,1.6050623815516154e-11,8,bnci004,5
1,CSP,0.07392162159287263,0.3882173270654765,0.4606866882553704,1.1558997135512716,1.1303015209168994,9,bnci004,5
1,logvar,0.048719957748607934,0.07502366022998556,0.020605913056871678,1.0363942808959345,0.052814650395738204,9,bnci004,5
1,TS,0.041973207244382804,8.614208343667987e-07,3.0468982780573978e-12,2.1253325103688843e-08,7.522874283987443e-12,9,bnci004,5
2,CSP,0.6806410192474872,1.3279391303534587,1.648030353106752,3.428344131083415,1.8495926234590334,9,bnci004,5
2,logvar,0.5176870348017842,0.22790385737604268,0.05713862362153385,2.1216607068017175,0.06288708471653022,9,bnci004,5
2,TS,0.4791482838664517,2.5817143105844165e-06,7.858306508771863e-12,6.281671168509823e-08,8.504343352242869e-12,9,bnci004,5
3,CSP,0.38992009979686726,0.9273966859727076,1.0754305123083094,2.0236435311702348,1.4016884771208102,9,bnci004,5
3,logvar,0.3507785987733766,0.18569473904275113,0.04691963065290181,1.5639462065047758,0.05643297169217994,9,bnci004,5
3,TS,0.3206518393539197,2.1139831790026687e-06,6.5412842235743605e-12,5.162196813827654e-08,7.772959009625923e-12,9,bnci004,5
4,CSP,0.4541715286779493,0.9697572370087154,1.0884935966318219,2.5966306797412453,1.3826470757012306,9,bnci004,5
4,logvar,0.42200935230295855,0.20187249184911837,0.05021752315859169,1.9496850505109955,0.058023138942287576,9,bnci004,5
4,TS,0.4127343422310359,2.3701547383826502e-06,7.213356391670337e-12,5.738273587343149e-08,8.048781506454195e-12,9,bnci004,5
